timing_bucket,window,captured_games,graded_game_predictions,brier,log_loss,calibration_gap,signals,graded_signals,wins,hit_rate,flat_profit_units,flat_roi,mean_price_clv,mean_probability_clv,mean_entry_ev,enough_for_comparison
D8+,192+ hours,83,40,0.15164613922719364,0.47020993872115363,-0.015268467483200432,0,0,0,,,,,,,False
D7,168–192 hours,41,41,0.1347739346158271,0.43047176300830275,-0.030125591262382234,0,0,0,,,,,,,False
D6,144–168 hours,178,129,0.10687891784784063,0.3491552136566667,-0.03892307005996731,2,1,0,0.0,-1.0,-1.0,0.0666666666666666,0.0111367127496159,0.12809699246949405,False
D5,120–144 hours,229,179,0.11044353170341742,0.35327719708395217,-0.030090649034767103,18,13,1,0.07692307692307693,-9.35,-0.7192307692307692,0.013902556730625293,0.0017778623266189006,0.09248168292017313,False
D4,96–120 hours,243,187,0.11530737823159767,0.3697722446266013,-0.016588212838106298,17,13,2,0.15384615384615385,-6.4,-0.49230769230769234,0.02186576045723483,0.007030176029302638,0.09203457205543421,False
D3,72–96 hours,208,154,0.10873676232616825,0.3537807529190775,-0.0289599869439785,13,10,1,0.1,-6.8,-0.6799999999999999,0.007549833416570518,0.005154763946673201,0.08972574394497611,False
D2,48–72 hours,215,159,0.10538574056964954,0.34390671858893074,-0.028978627760149922,14,10,0,0.0,-10.0,-1.0,0.016283739594948908,0.0021060388215857393,0.09891379600337347,False
D1,24–48 hours,211,156,0.10140411145242972,0.3304860556638145,-0.035261112761725055,15,11,1,0.09090909090909091,-7.85,-0.7136363636363636,0.0043643577821143725,0.0003465338097127093,0.09724074451685251,False
D0,0–24 hours,222,167,0.10368577767937205,0.3417367113631421,-0.02847862048293104,14,9,1,0.1111111111111111,-5.9,-0.6555555555555556,0.0,0.0,0.10283173302497664,False
